name,kind,acc,pre,rec,f1,params
Logistic Regression,train,0.6336582278481012,0.6129280277359962,0.5830941280990828,0.5930499600536776,
Logistic Regression,test,0.6344285714285715,0.6152609754677075,0.5854195818634187,0.5949050764459544,
GradientBoosting,train,0.8023037974683545,0.7912153054277006,0.7871111553240852,0.7891262076125175,"n_estimators=1000, max_depth=4"
GradientBoosting,test,0.7488571428571429,0.7313156699571793,0.7274204102958097,0.7293059221600751,"n_estimators=1000, max_depth=4"
